no.;abbrev;name;z1;z2;z3;z4;z5;smiles
54;1Nala;3-(1-naphthyl)alanine;-5,67;6,31;3,43;3,51;-0,47;N[C@@H](CC1=C2C=CC=CC2=CC=C1)C(O)=O
55;2Nala ;3-(2-naphthyl)alanine;-6,48;6,37;2,81;3,02;-0,49;N[C@@H](CC1=CC=C2C=CC=CC2=C1)C(O)=O
56;Nle;norleucine (or 2-aminohexanoic acid);-4,33;-1,3;-1,54;-0,85;0,74;CCCCC(N)C(O)=O
57;Nmala;N-methylalanine;-1,3;-3,13;-0,65;0,04;-0,16;C[C@@H](C(O)=O)NC
58;Nva;norvaline (or 2-aminopentanoic acid);-3,08;-1,76;-0,98;-0,68;0,87;CCCC(N)C(O)=O
59;Obser;O-benzylserine;-5,2;2,54;-0,6;0,32;-0,48;N[C@@H](COCC1=CC=CC=C1)C(O)=O
60;Obtyr;O-benzyltyrosine;-7,71;7,33;-1,81;2,39;0,11;N[C@@H](CC1=CC=C(OCC2=CC=CC=C2)C=C1)C(O)=O
61;Oetyr;O-ethyltyrosine;-5,62;3,33;-0,75;0,71;-1,17;N[C@@H](CC1=CC=C(OCC)C=C1)C(O)=O
62;Omser;O-methylserine;-1,02;-0,3;0,36;-0,97;1,7;N[C@@H](COC)C(O)=O
63;Omthr;O-methylthreonine;-1,75;-1,63;-1,55;-1,6;-0,2;N[C@@H]([C@H](OC)C)C(O)=O
64;Omtyr;O-methyltyrosine;-4,28;3,05;-0,03;0,72;-1,11;N[C@@H](CC1=CC=C(OC)C=C1)C(O)=O
65;Orn;ornithine;3,09;0,17;-1,85;1,46;0,42;N[C@@H](CCCN)C(O)=O
66;Pen;penicillamine;0,15;-0,76;0,42;0,67;-2,79;N[C@@H](C(C)(S)C)C(O)=O
67;Pga;pyroglutamic acid;-3,56;2,88;2,82;1,09;3,1;O=C1CC[C@@H](C(O)=O)N1
68;Pip;pipecolic acid;-2,66;-2,29;-1,57;0,2;-0,39;O=C(O)C1CCCCN1
69;Sar;sarcosine;0,3;-3,55;-0,09;0,29;-0,35;CNCC(O)=O
70;Tfa;3,3,3-trifluoroalanine;-1,47;1,11;3,66;-4,7;2,13;N[C@@H](C(F)(F)F)C(O)=O
71;Thphe;6-hydroxydopa;1,29;5,13;0,89;-0,93;-2,06;NC(C(O)=O)CC1=CC(O)=C(O)C=C1O
72;Vig;L-vinylglycine;-0,81;1,17;3,54;1,2;3,43;O=C(O)CNC=C
73;Aaspa;(-)-(2R)-2-amino-3-(2-aminoethylsulfonyl) propanoic acid dihydrochloride;5,35;6,24;2,92;-1,44;-2,26;O=C(O)[C@@H](N)CS(=O)(CCN)=O.[H]Cl.[H]Cl
74;Ahdna;(2S)-2-amino-9-hydroxy-4,7-dioxanonanoic acid;-1,4;3,33;-2,51;-2,81;1,96;O=C(O)[C@@H](N)COCCOCCO
75;Ahoha;(2S)-2-amino-6-hydroxy-4-oxahexanoic acid;0,05;1,17;-0,74;-1,96;1,64;O=C(O)[C@@H](N)COCCO
